"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 20:22:59 UTC 2025","Sat Aug 30 20:23:05 UTC 2025","5945","","Web Tests","","ru.dostaevsky.tests.web.tests.CityInfoTests","selectCityFromTheListAvailableAndCheckDisplayInfoTest","[WEB] Выбор и отображение информации города. Для города ""Краснодар"" отображается информация по ссылке ""https://krd.dostaevsky.ru/"" с контактным номером телефона ""8 (861) 205-88-77""",""
"passed","Sat Aug 30 20:21:50 UTC 2025","Sat Aug 30 20:21:58 UTC 2025","7609","","Web Tests","","ru.dostaevsky.tests.web.tests.CartInfoTests","addItemToCartAndCheckMinimalPriceToDeliveryInfo","[WEB] Проверка минимальной цены доставки. Минимальная цена доставки в городе ""Санкт-Петербург"" равна ""500"" ₽",""
"passed","Sat Aug 30 20:15:47 UTC 2025","Sat Aug 30 20:16:20 UTC 2025","33895","","Android Tests","","ru.dostaevsky.tests.android.tests.CityInfoTests","selectingCityFromTheListAvailableAndCheckingDisplayInfoTest","[Android] Выбор и отображение информации города. Для города ""Москва"" отображается информация с контактным номером телефона ""+7 (495) 788-78-78""",""
"passed","Sat Aug 30 20:21:02 UTC 2025","Sat Aug 30 20:21:03 UTC 2025","639","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.AddItemToBasketTests","addingItemToBasketWithoutCookies","[API] Добавление товара в корзину для пользователя без кук",""
"passed","Sat Aug 30 20:23:50 UTC 2025","Sat Aug 30 20:23:58 UTC 2025","7801","","Web Tests","","ru.dostaevsky.tests.web.tests.ProductsPriceInfoTests","breakfastPriceComparisonInSelectedCityTest","[WEB] Отображение цен на завтрак. В городе ""Москва"" отображаемые на странице цены на завтрак равны ценам из словаря",""
"passed","Sat Aug 30 20:21:06 UTC 2025","Sat Aug 30 20:21:08 UTC 2025","1548","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.RemoveItemFromBasketTests","removedItemFromBasket","[API] Удаление товара из корзины",""
"passed","Sat Aug 30 20:21:08 UTC 2025","Sat Aug 30 20:21:08 UTC 2025","429","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.UpdateItemCountInBasketTests","updateItemCountInTheBasketWithoutItemId","[API] Обновление количества товара в корзине без передачи идентификатора товара",""
"passed","Sat Aug 30 20:11:08 UTC 2025","Sat Aug 30 20:11:48 UTC 2025","39367","","Android Tests","","ru.dostaevsky.tests.android.tests.CartInfoTests","addItemToCartAndCheckValueInCartTest","[Android] Добавление позиции в корзину и проверка отображения цены, количества и наименования товара в корзине",""
"passed","Sat Aug 30 20:16:52 UTC 2025","Sat Aug 30 20:17:18 UTC 2025","26233","","Android Tests","","ru.dostaevsky.tests.android.tests.CityInfoTests","selectingCityFromTheListAvailableAndCheckingDisplayInfoTest","[Android] Выбор и отображение информации города. Для города ""Краснодар"" отображается информация с контактным номером телефона ""+7 (861) 205-88-77""",""
"passed","Sat Aug 30 20:21:05 UTC 2025","Sat Aug 30 20:21:06 UTC 2025","1549","","Rest API Tests","","ru.dostaevsky.tests.api.tests.basket.BasketInfoTests","gettingFilledBasketInfo","[API] Получение информации о заполненной корзине",""
